Title,Company,Location,Postdate,ExtractDate,Summary,Salary,JobURL
Becario,Miguel Nava Gonzalez,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,Ejecutar tareas de aprendizaje que permitan en un futuro la ejecución de funciones de consultoría en Aplicaciones de Cadena de suministro.,,https://mx.indeed.com/rc/clk?jk=594e235917c06843&fccid=f7286336f98ee800&vjs=3
Programador Wordpress,Active Business Solutions,"Miguel Hidalgo, CDMX",hace 1 día,2021-01-24,Debe probar su concimiento en programación digital y manejo de herramientas digitales varias. Buscamos a un experto en Wordpress para atender tienda en línea.,,https://mx.indeed.com/rc/clk?jk=fe68c3522aae137e&fccid=9426e150e79d327f&vjs=3
ESPECIALISTA OPTIMIZACION DE PROCESOS JR,SURA CORPORATIVO,Ciudad de México,hace 1 día,2021-01-24,"SURA ASSET MANAGEMENT, TE INVITA A FORMAR PARTE DE SU GRAN EQUIPO DE TRABAJO COMO: ESPECIALISTA OPTIMIZACIÓN DE PROCESOS JR.",,https://mx.indeed.com/rc/clk?jk=95069696ed8a61b9&fccid=afa9a3459559269f&vjs=3
Becario programación Movil Androd / IOS,Bumeran,"Miguel Hidalgo, CDMX",Hace más de 30 días,2021-01-24,Si te gusta aprender y desarrollar te estamos esperando. Buscamos estudiantes de septimo semestre en adelante o egresados con no más de seis meses de tu fecha…,,https://mx.indeed.com/rc/clk?jk=00f5ca67507a68f8&fccid=f4ce47cf6f6f15f3&vjs=3
Desarrollador ICC,Convertia,"Miguel Hidalgo, CDMX",hace 4 días,2021-01-24,"Somos Convertia, una empresa nacida en 2016 con un crecimiento exponencial en la región, con oficinas en Bogotá, CDMX, Madrid y Lima con más de 800…",,https://mx.indeed.com/company/Convertia/jobs/Desarrollador-icc-e2219b5fc28e8c10?fccid=a1eaec8cb101cefd&vjs=3
Operador y programador CNC,2W Plasticos SA de CV,"Iztapalapa, CDMX",hace 2 días,2021-01-24,"Esta vacante viene de la bolsa de empleo Talenteca.com. Somos una empresa con mas de 10 años de experiencia en la transformación de plástico, desarrollando…","$10,000 al mes",https://mx.indeed.com/rc/clk?jk=5618e9df093a1629&fccid=734edb67bf1f119e&vjs=3
Becario en Diseño Web y Marketing,ADDREDE,"Colonia Condesa, CDMX",hace 25 días,2021-01-24,Conocimiento básico o con noción de programación. ADDREDE está en busca de un perfil técnico para cubrir vacante de becario en Diseño web y mkt con capacidad…,"$3,000 - $5,000 al mes",https://mx.indeed.com/company/ADDREDE/jobs/Becario-dise%C3%B1o-web-marketing-2b13726cdd83c95a?fccid=012b17a1bb2361f9&vjs=3
Data Analyst,AsTecI S.A de C.V,"Venustiano Carranza, CDMX",hace 24 días,2021-01-24,"Programación con javascript o marcos ETL: 2 años (Requisito mínimo). Gran conocimiento y experiencia con paquetes de informes (Business Objects, etc.), bases de…","$28,000 - $32,000 al mes",https://mx.indeed.com/company/AsTecI-S.A-de-C.V/jobs/Data-analyst-cf4cdcb40a2ce7a5?fccid=605fe7f6956a0755&vjs=3
PLANEADOR COMPRADOR JR * FORESCAST & COMPRAS *,"DESARROLLO CORPORATIVO HEMAN, S.A. DE C.V.","Tlalpan, CDMX",Hace más de 30 días,2021-01-24,Sugerir fechas de entrada a las cadenas comerciales con base en las existencias actuales y programación de llegada de las órdenes de compra.,,https://mx.indeed.com/rc/clk?jk=4f44bd3a05d24510&fccid=948c6ca9507e8e90&vjs=3
químico documentador,Randstad,Ciudad de México,hace 3 días,2021-01-24,"Miércoles, 20 de enero de 2021. $ 15,000 - $ 17,000 por mes. Envía este empleo por correo electrónico Imprimir trabajo. Lunes a viernes de 08:00 a 17:00 hrs.","$15,000 - $17,000 al mes",https://mx.indeed.com/rc/clk?jk=9be597711c6a173a&fccid=f8b265243da9f9d7&vjs=3
EJECUTIVO E-COMMERCE,EQUIPOS INTERFERENCIALES DE MEXICO,"Cuauhtémoc, CDMX",hace 1 día,2021-01-24,Experiencia de dos años zona a trabajar cuauhtémoc generar leadse inscripciones de participantes de acuerdo a la programación de cursos anual a través de…,"$7,000 al mes",https://mx.indeed.com/rc/clk?jk=d32eb148eb8de39d&fccid=177fef702aa876ac&vjs=3
Programador Jr,Warriors Lab's,"Benito Juárez, CDMX",hace 9 días,2021-01-24,"Conocimiento en lenguajes de programación: Java, PHP, HTML5 . Importante empresa de tecnología solicita: *. -Comprometida(o) en cada proyecto y con la Empresa…","$7,000 al mes",https://mx.indeed.com/company/WARRIORS-LABS-S.A-de-C.V/jobs/Programador-junior-9ade11095d2d38a2?fccid=7c5c60b57362e99e&vjs=3
SOFTWARE APPLICATION DEVELOPER / ANALYST II,Human Quality,"Colonia Santa Fe, CDMX",hace 3 días,2021-01-24,"Oportunidad Laboral en empresa multinacional del giro de transporte solicita. SOFTWARE APPLICATION DEVELOPER / ANALYST II. AS/400 iSeries, ICC, Infinium.","$51,000 - $52,000 al mes",https://mx.indeed.com/company/Human-Quality/jobs/Software-application-developer-60057e4dbf54d313?fccid=245ed6caf54352f4&vjs=3
Programador de Lenguaje C.,Industrias Bio Green de México,"Cuauhtémoc, CDMX",hace 18 días,2021-01-24,En programacion: 1 año (Requisito deseable). ¡Importante Empresa Enfocada A Las Soluciones Ambientales Solicita Programador de Lenguaje C Para Participar En…,$300 - $500 al día,https://mx.indeed.com/company/Industrias-Bio-Green-de-M%C3%A9xico/jobs/Programador-lenguaje-a0097ff0db7bd022?fccid=8bc0a372dd34939f&vjs=3
SOPORTE TECNICO COMERCIAL,BARMEX,"Cuauhtémoc, CDMX",hace 4 días,2021-01-24,"6.-Conocimiento en sistemas scada y programación. 4.- Conocimiento PLC, HMI,SERVOS, inversores en programación. 1.-Conocimieto en la marca de ser posible.","$12,000 al mes",https://mx.indeed.com/company/BARMEX/jobs/Soporte-tecnico-comercial-d710e009112054b4?fccid=33d9da65d8670e26&vjs=3
Trafficker Digital para agencia digital de performance,Olozfera,"Cuauhtémoc, CDMX",hace 17 días,2021-01-24,"Olózfera Agencia digital de alto crecimiento, busca Traficker Digital para campañas de Performance.. Escolaridad: Persona egresada de la Carrera de Economía,…","$15,000 - $18,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AooLUkaZszNYXJa5t2s33g5qoI_PnclcrTb6T1G5TzZHAVq4I5SKOrGCbVtFN2CynohmjsIS-hLf0ZIRKuq5e2Vx8-iAYKHcFZk_qZVMdWW6kdZixMbRPZhnhhUjCC-w57KgTKF3NJ0vWkGPaGfb-E40_c28vIjlLSO9XHMyczC93chYQ2VfLLY0Lv7qPZzI6vWRvGpZ0Z2_PHQ1ChuO_zIZWZ4nCZv81hROlb47Sn5TSB-Uaz0NwFTjkGmM2zrl7Ze44eMJt47IjV1vSxobMgyzjpFzfra6c6JWz1QwXOZbIIYmRvnjdwVSJntkXcDYISAI48lJKxQJ-ri03WUs6pBo5r0bGdRzE9PFB2UoIM5JuqJaPzu3qSDfpE2nnShIsauvdAmKLUlDQX3vYHJpw_5ZjkPS_YSTushljw2lCGhlT-XumGuSucNsV_3ia1v1xua3Wp089WY7glItIyt0JITlaylDtiTR-Pze6zR1fhyxsRw-26jvgUAB5p1VN2nipE6ShU192_3w==&p=0&fvj=1&vjs=3
Ejec Reportes Regulatorios IFRS9,CONFICENCIAL,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,Trabajar en conjunto con las áreas de programación para la automatización de Reportes Regulatorios. Elabora y envía los Reportes Regulatorios de Cartera…,,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BcYGqTpIYCu3gKIYIM1iKMLDZ-TE_m_99kABDSYeB7MNKwHegySXNyEslB4PdUhDGgZsDd_RAixt8sZzj1cLG6N_8X40s6UwrFzzfoIntspr-mFBIifak1LqlSYP57BKllSjBNbFwEMFD2zv32yEOpV8UobRvWS7Jq6ynKgt8gEoJMVWJxmROf4kV-BQ2cOJcAXdDkc8WB2QcrbtMCB5Brtr6YMVGstUZ4YQ5zanN404kYeRXv5gKu9ShLJqgC8GapnpyssmHJ4DVKFxXCctwlw6mmANvqRigzCuOfNx_Hdg7wfZ6yFE6DUFs5nRgduT7iDiwyx8_H0ErT9oDlPuekAt6k3pJ1YjuxxhxUf_9tnXW-2bvwr0RZZrMMJZEtqKxFT_ZCeg1nbIDNyC_nOqhnLmm3WZHQ0iFUX41aAPSGqvsFEOfu_NsKxWoKeLpBytURMkYA-n2JgFzu64vexQ3f1Sv0s6RBiDfiw2ECfIiVHfHoqLdRi1Nq&p=1&fvj=1&vjs=3
Técnico electromecánico,Azisten Group S.A. de C.V.,"Azcapotzalco, CDMX",hace 17 días,2021-01-24,Edad: 20 a 40 años. Vivir como máximo a 1 hora de Azcapotzalco. Sueldo: 5200 pesos libres mensuales + prestaciones de ley desde el primer día.,"$5,200 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtJAPggw9f4ZE3jQT0miw2HMIGX_AdViQihdnm5HK21tTBYQoUoAhszOuioFwNV47TfGcbPjo2O37XYGHM2EsTrBSETeYOulow7qVNePG6L5x2quI-l13i_gmONmwXC59098i9udMPjebM4yq402RbUpRwRSQ2RuQYv3M5sSCu3-XAlwLOLNNE-IBuV0SY65NCa1PNmJkZK4DMGTw2WbUtnZx_b9Uve8R8AXftTTbZd1AWI42QiJSERS9A2SJ96p73DUuGp6BRwybC4_WpZ0r2iIUXR8Hp8lmNS_ZG58upyXsv4zaj09xrG84x8hcYrKDA7POGt9553ga299zutqMggRe2dT88rKUiw5EX0xIIhvJXQbNvP09JG4ID38PdnkUpg_Se_e9wLaGiksafRTDqoseCs9criNuJXDVKi2_dUDsUaZ2P7M6qjUdOGsKhFAGZBAiUgWbpKKyQAMsoOTi6Lv684mmhyiBp9W7S-rhzxzIgDz6yYkpYhALNiMsIY9U=&p=2&fvj=1&vjs=3
Supervisor de Información y Bases de Datos,PlayCity Casino,"Tlalpan, CDMX",hace 2 días,2021-01-24,Únete al mejor equipo de trabajo y vive la “Experiencia Play”. Tendrás oportunidad de desarrollar una carrera en el mejor casino de México.,"$25,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARZ6FD_sGVUlGBzehOYNtGzUDZUjJmHvpVAt3NcHx3Z0EojSYCsOFVAwe3aTTQoWJc8CD-5SHmwlwCtentlPReJZ5MuTD6pTrjVoHKmcKpajIFQLAns2QxZd8ZiArbqimiHjBX5x-LbMtbL3icxo6ASeptTPkVSjTOz33KAo_xiBwkduZpc0KEAQ9tcoMXf4c3IBTzjnmB9qabaNA6Fq4oIUPXPrq6jYzk7TD0c9KLPRb8d6OYr06U9fqZQ_zWvPaGS41S6uG5Iga1sfpVF-VPDxv7ktWZd6cVaefcDwNjFQyap6_tY0JTrvXYbSaC_DeCLZJgE2ff509iginyncKybzmGY3grl9jWe2zahf2z03BMivIXlIQwjlSSktDRarA0CV06Ivzm43ceAXorfRKBpJLyODjTnMdC5FCfhgxoqJCYVhVM2IlPezMK1A6V0X7rr80ry7tfRqP0tlrf2LshDlJEp1Aol9f6bZo81dxaAjJFTHJdYdIC-7qoqZuIcopdxxbvoL-Csg==&p=3&fvj=1&vjs=3
Desarrollador PHP,Denumeris Interactive Agency,"Álvaro Obregón, CDMX",hace 5 días,2021-01-24,"Ing. en sistemas, Lic. en Informática o Carrera a fin. Experiencia mínima de 3 años como Desarrollador PHP. HTML,css3,JQuery,Java Script.","$15,000 - $20,000 al mes",https://mx.indeed.com/rc/clk?jk=aaf2c75a77d37f2c&fccid=942c4ec626ccb63b&vjs=3
Administrador de WebLogicServer y SOA,BLK Global Logistics,"Coyoacán, CDMX",hace 2 días,2021-01-24,Conocimiento en programación java para identificar componentes de una aplicación. Administrador de WebLogicServer y SOA. Temporalmente debido al COVID-19.,"$20,000 - $30,000 al mes",https://mx.indeed.com/company/BLK/jobs/Administrador-weblogicserver-soa-813192069639c91e?fccid=377eb72a2df92016&vjs=3
Ingeniero de Sistemas,Grupo Estrella Esmeralda SA de CV,"Venustiano Carranza, CDMX",hace 18 días,2021-01-24,Experiencia mínima de 2 años en programación con Python. Empresa importadora y distribuidora de accesorios de moda para dama.,"$15,000 - $18,000 al mes",https://mx.indeed.com/company/Grupo-Estrella-Esmeralda-SA-de-CV/jobs/Ingeniero-sistemas-b520054e0b61ab62?fccid=f20f45f4a6705335&vjs=3
Ingeniero de Automatización y Control,EOS Project México,"Miguel Hidalgo, CDMX",hace 3 días,2021-01-24,Experiencia en desarrollo y programación de estrategias y filosofías de control y operación para equipos de la industria alimentaria o química como evaporadores…,,https://mx.indeed.com/company/EOS/jobs/Ingeniero-automatizaci%C3%B3n-control-f4ff15e04281120b?fccid=866134be7693f998&vjs=3
Desarrollador en Unity,Figment,"Miguel Hidalgo, CDMX",hace 15 días,2021-01-24,Conocimientos en otros idiomas de programación. Estamos buscando un programador responsable de construir juegos para varias plataformas basadas en Unity.,,https://mx.indeed.com/company/Figment/jobs/Desarrollador-unity-53f6be403220e96e?fccid=003596b6a070b1e0&vjs=3
Analista de Sistemas,"CABLETAMPS, S.A. DE C.V.","Coyoacán, CDMX",hace 15 días,2021-01-24,\*CONTRATO TEMPORAL POR INCAPACIDAD DE MATERNIDAD\*. Escolaridad: Ingeniero de sistemas o afín. Conocimientos básicos en Linux y Windows Server.,"$12,500 al mes",https://mx.indeed.com/company/CABLETAMPS-SA-DE-CV/jobs/Analista-sistemas-26bbb36619bb9536?fccid=fb0363aa55138dd8&vjs=3
Desarrollador Back End,Umvel,"Colonia Condesa, CDMX",hace 3 días,2021-01-24,Seguir buenas prácticas de programación. Realizar el desarrollo de software utilizando el lenguaje de programación JavaScript (NodeJS).,"$25,000 al mes",https://mx.indeed.com/company/Umvel/jobs/Desarrollador-back-end-e77a63583902f46b?fccid=24ca1f07d3a98371&vjs=3
Machine Learning,PRAXIS TI,"Cuauhtémoc, CDMX",hace 11 días,2021-01-24,"PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.",,https://mx.indeed.com/rc/clk?jk=951860224df29922&fccid=942c4ec626ccb63b&vjs=3
SOPORTE TECNICO,RC CORPORATIVO,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,RC Corporativo consultoría financiera solicita persona para el area de: SOPORTE TECNICO CON CONOCIMMIENTO EN PROGRAMACION. Edad: 25 a 40 años.,,https://mx.indeed.com/rc/clk?jk=d8aab09692195b23&fccid=402f28e52ffaf852&vjs=3
Analista de Soporte Técnico,MEDICAL DIMEGAR,"Azcapotzalco, CDMX",hace 12 días,2021-01-24,Analista de soporte técnico e infraestructura *. Edad 24 a 45 años. En sistemas Computacionales o carrera a fin. Revisar y cotizar equipos tecnológicos.,"$8,000 al mes",https://mx.indeed.com/company/MEDICAL-DIMEGAR/jobs/Analista-soporte-t%C3%A9cnico-a1f161cb64cea873?fccid=8be960fd3f9847ad&vjs=3
DOCENTE DE PROGRAMMING Y ICT (SECUNDARIA),The Bright House Academy,"Benito Juárez, CDMX",hace 3 días,2021-01-24,"Conocimientos en lenguajes de programación orientados a objetos con enfoque en microcontroladores (Javascript, Python, C++). Que sea disciplinado y responsable.",$150 - $200 por hora,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHDoWKzBivqlXIafL8D4EGCahWsxn-nsU11mz4_m1IBKOGZtaivRyKH-RE8deqckKAm1l3_D0r4OotJef8xGnQ1w3PQ-ORPtdG8xeUSzm65JBq5L4PJSU-U3VIQDdvzsBwScvDzXi20Jd9ozIrgSLIvQNPk9XlOETbaeaCadSyuCzkf2iJl_xCMQ4yICll8uGvrUckY9cgOm3jugzu-mRbVUwO-M7S1cBS2HnaApz96r3XFU3yM-slInAOmFt1SpvVDqGTz7IcT11We7hpPVHTCrrK_rVvTjErxHGmN6hxQGEr3UIl7bZVpTtuoPh0zPScesUG5gexSgEKzHsNCv9kt-T6VA1GBEeD4AdKMwKuUkhlbmtiyTV70a43QiQ9zTUCoZzfvMvo7-3aicvhnjUSCGiG0pR4NNsAD-p392dYhbs1vMsc8QAkvcOrrypJMciuuKEUaCOLOfpLzlutkIZeSL4V9tuuEKwqKdw0-PUdG50xGLV5ZRtJ&p=14&fvj=1&vjs=3
Full Stack Developer,Entersol,"Benito Juárez, CDMX",hace 8 días,2021-01-24,Micro servicios escalables horizontalmente escritos y aprovechando técnicas de programación funcional. En ENTERSOL confiamos que el talento humano es el activo…,"$19,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ciwzz3aHBngsPBIFiORAsyzMvEBJO4W0r-wyZq9YYzK08k2TCv7RHXBi0nKQ5YgXRfY_m1GzSrYh-Ai6Go3cbsDkqTYrXL8lLUTpSPBq_bgeANLhRCoUbaasr6twOfZcVWPJq_GUkIcj3CAaYcc1zjeTvcQVkIlR26Bn3RHnaBA41HGniNHzdI71Qm2A7zZ4ziDAmHQEzXnsdX9r7COzlh16HgaXtlx1m-GsvcJmHogaGR5w3UOZtQjiUl-TRTvXrOMZwBzQKNowFBuuH8L5wdUPa3jf1-Ta3kzSdkNWfyKxblL4wjhx7WKPEyi0Mb-1GzLwTOUwyOj3iW4CZr-J3c962hExG1_RpXVv4zn9LqD6xXCAUJ4SRmtRvZ6qilxNs6odnd-f0fQZdrXm90ENjOwtR6_VVmBwNF9LMOJ9xtIEanxaIwzm8kVBD4taq--LXfqcZphiq2NS-Yj1HM3gOh&p=15&fvj=1&vjs=3
¿Te encanta programar? Web/Móvil Backend & Frontend. Programador Jr,M22,"Coyoacán, CDMX",Hace más de 30 días,2021-01-24,"Aprendizaje y desarrollo con lenguajes de programación para sistemas web y aplicaciones móviles. Ahora estamos buscando a una persona que, al igual de todos los…","$12,000 - $20,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxmIgQqch13PGkj6ugSzylEzKPimiy2zCuNjU_g2WdPwXOnVBAMrjtYMwJEp-PDOQXbMrKiIaZlnjkV6XA9HkD25wG13cXi43TYsk_QiJXKYZfSAl71U_FdoV29WLUoQCEi0rvjQh0BYXIJ1-DJX4tFUOgb0rCNO1JDctlcPQCzhmjZ-5H_uuNsXVtl4AiPzsvaSaaHaKuYGQCse6BEttVjUBq5LN617tTeW1dzVR0_cuwsMCs_2B4neD3FnybX0Tt39PYQQ8bxgCeeL2-0zGSZ9-89G2b3-nPpIm8gA02GtEU06_Gynw2pN0lngo3cNtLdKMEsyut-8N4vQrbH6ieeRS4k-7w0zM2vsi3rYYA1uETV7ZXO9vhob5v9MtQIeBYrKjKG-590rK40a_c6JY3PSSf_Sf38FSAKwoHT33SwjDstZIXUQZpCE3X-VdCa_Cw0XcJ3AIAN839eWRcXhIdplmnTuiG6Ma3FW1_SxuCjCXbY2Z95KFxcRX9zqdh1YWETHD6u8vmPCx1Epia5YfP&p=16&fvj=1&vjs=3
Gte Buro de Credito No Tarjeta,Santander,"Cuajimalpa, CDMX",hace 17 días,2021-01-24,"Habilidades en programación - SAS, SQL o R. Sé parte de nuestro equipo de Riesgos en el puesto de: Gerente de Información a Buró de Crédito.",,https://mx.indeed.com/rc/clk?jk=ecbf3ab0c61bc211&fccid=e57a47a3d1d90e39&vjs=3
Desarrollador Tester Q.A. JR,"Lunave Multimedios, S.A. de C.V.","Miguel Hidalgo, CDMX",hace 16 días,2021-01-24,"Conocimientos en lenguajes de programación y tecnologías como: Selenium Post man, JUnit, OWASP ZAP, SonarQube, IOS, Android, Java, PHP.","$12,000 - $14,000 al mes","https://mx.indeed.com/company/Lunave-Multimedios,-S.A.-de-C.V./jobs/Desarrollador-tester-q-junior-f7c01e58e2e444d4?fccid=273d214ef0a406ab&vjs=3"
Desarrollador Android,J2E soluciones,"Miguel Hidalgo, CDMX",hace 1 día,2021-01-24,"Puesto solicitante: Mobile Application Developer / Android (Semi-Senior). Carrera: Ingeniero, Técnico o Licenciado en Sistemas Computacionales o a fin.","$35,000 al mes",https://mx.indeed.com/company/J2E-soluciones/jobs/Desarrollador-android-4c49a5e37d3d5e3a?fccid=cd38f75bb2b9c1ac&vjs=3
Frontend Developer React / Remoto,JADE MX,"Colonia Roma, CDMX",hace 4 días,2021-01-24,"Empresa que comercializa productos de retiro a través de canales digitales, busca un Frontend Developer React / Remoto .. MERN Stack y soluciones a problemas.","$25,000 - $35,000 al mes",https://mx.indeed.com/company/JADE-MX/jobs/Frontend-developer-react-be289e38be81b2e4?fccid=f4760fcf5afe47ce&vjs=3
Programador Unity Sr.,INMERSYS,"Coyoacán, CDMX",hace 12 días,2021-01-24,Conocimientos avanzados con Unity Game Engine y lenguaje de programación C# por lo menos de 3 años. ¿Eres un crack en Unity? ¡Estamos buscando personas como tú!,"$21,000 al mes",https://mx.indeed.com/company/INMERSYS/jobs/Programador-unity-senior-dac754803fad136e?fccid=a6ade46f92deb10a&vjs=3
Arquitecto de Soluciones,Consultora TI,"Cuauhtémoc, CDMX",hace 7 días,2021-01-24,+4 años de Desarrollo y programación de software. Esta vacante viene de la bolsa de empleo Talenteca.com. Empresa Multinacional especialista en Arquitectura…,"$42,000 al mes",https://mx.indeed.com/rc/clk?jk=90621436a9f396de&fccid=f45888440fef5091&vjs=3
Analista Programador de Sistemas de Información,"CENEVAL, A.C.","Benito Juárez, CDMX",hace 4 días,2021-01-24,"Análisis de procesos, base de datos, programación: 2 años (Requisito mínimo). _Programación de sistemas de información web utilizando lenguaje de programación…","$16,000 - $16,500 al mes","https://mx.indeed.com/company/CENEVAL,-A.C./jobs/Analista-programador-sistemas-informaci%C3%B3n-f4b721679c6c06fe?fccid=2eeb70bb98b3e06e&vjs=3"
Programador,Qually Corporacion S.A. De CV,"Colonia Tacuba, CDMX",hace 12 días,2021-01-24,"_Importante Laboratorio, Tercero Autorizado como Laboratorio de Pruebas, Unidad Analítica / Estudios de Biodisponibilidad y Bioequivalencia, y Perfiles de…",,https://mx.indeed.com/company/Qually-Corporacion-S.A.-De-CV/jobs/Programador-2fd6d12177cdaa86?fccid=fd825cfec0bdf44a&vjs=3
Desarrollador Senior,Warriors Lab's,"Benito Juárez, CDMX",hace 11 días,2021-01-24,Empresa mexicana* líder en el desarrollo e investigación en TI. Está en búsqueda de INGENIEROS TITULADOS para integrarse al área de Sistemas como *Desarrollador…,"$16,000 - $22,000 al mes",https://mx.indeed.com/company/WARRIORS-LABS-S.A-de-C.V/jobs/Desarrollador-senior-6c4deb58f132ca8a?fccid=7c5c60b57362e99e&vjs=3
SUPERVISOR (A) DE TRAFICO / CDMX,TRANSPORTES MINERVA S.A. DE C.V.,"Azcapotzalco, CDMX",hace 13 días,2021-01-24,Comunicación y seguimiento a lavado para la programación de lavado y liberación de remolques. Empresa 100% Mexicana Enfocada en Transporte Terrestre Solicita: *…,"$11,000 al mes",https://mx.indeed.com/company/Transportes-Minerva/jobs/Supervisor-trafico-bb8540ba157f9c9e?fccid=ba50c4376286458e&vjs=3
INGENIERO DE INFRAESTRUCTURA,PRAXIS TI,"Benito Juárez, CDMX",hace 11 días,2021-01-24,"EXPERIENCIA: De 3 a 5 años en nociones de programación estructurada. Importante Empresa de Consultoría, especializada en Tecnología de la Información, solicita:…",,https://mx.indeed.com/rc/clk?jk=f260decffddebaad&fccid=942c4ec626ccb63b&vjs=3
EJECUTIVO DE LOGISTICA NACIONAL,TALENTO EN COMERCIO EXTERIOR,Ciudad de México,Hace más de 30 días,2021-01-24,EMPRESA LIDER EN LOGISTICA Y TRANSPORTE SOLICITA EJECUTIVO DE LOGISTICA CON LOS SIGUIENTES CONOCIMIENTOS: Negociaciópn de tarifas con proveedores.,,https://mx.indeed.com/rc/clk?jk=3ecfb38cf2a7259a&fccid=601a40de7619d99f&vjs=3
Ingeniero de Ventas de Soluciones y Servicios (Seguridad),Bosch Group,Ciudad de México,hace 7 días,2021-01-24,"Conocimientos: programación, manejo de CRM, Microsoft Office. Bosch fue fundada en Stuttgart en 1886 por Robert Bosch (1861-1942), y por más de 130 años se ha…",,https://mx.indeed.com/rc/clk?jk=221b2ac569d2de6d&fccid=a2faf1301ac6ad4b&vjs=3
Jefe de Mantenimiento,GRUPO SOEL SA DE CV,"Cuajimalpa, CDMX",hace 25 días,2021-01-24,Garantizar de mantenimiento (preventivos y correctivos). Crear e implementar políticas y procesos. Gestión del equipo (Evaluación de KPIS).,"$20,000 al mes",https://mx.indeed.com/company/Grupo-Contadero-S.A-de-C.V/jobs/Jefe-mantenimiento-a4358c02ec51513c?fccid=5ace18c58ef5a231&vjs=3
ING. QUIMICO EN ALIMENTOS (REPRESENTANTE TÉCNICO VENTAS DE EXPORTACIÓN),COMPLEMENTOS ALIMENTICIOS SA DE CV,"Azcapotzalco, CDMX",Hace más de 30 días,2021-01-24,Elaborar o coordinar con Servicio al Cliente / Administración de Ventas la programación de entregas de pedidos.,,https://mx.indeed.com/rc/clk?jk=3ee57865d3af6688&fccid=8593bc19297d3792&vjs=3
ING. QUIMICO EN ALIMENTOS (REPRESENTANTE TÉCNICO VENTAS DE EXPORTACIÓN),COMPLEMENTOS ALIMENTICIOS SA DE CV,"Azcapotzalco, CDMX",Hace más de 30 días,2021-01-24,Elaborar o coordinar con Servicio al Cliente / Administración de Ventas la programación de entregas de pedidos.,,https://mx.indeed.com/rc/clk?jk=3ee57865d3af6688&fccid=8593bc19297d3792&vjs=3
Ingeniero en Desarrollo y Programación,Vía Transfer Integral,"Benito Juárez, CDMX",Hace más de 30 días,2021-01-24,"Programador en el lenguaje a desarrollar, con experiencia.",,https://mx.indeed.com/rc/clk?jk=5716fa78d57aa7fa&fccid=2e4b8d012aad7beb&vjs=3
Analista Programdor .Net,Stephannie López,Ciudad de México,Hace más de 30 días,2021-01-24,"Mínimo 2 años en programación web Visual Studio . Importante empresa líder en la fabricación y comercialización de artículos plásticos para el hogar, solicita:","$20,000 al mes",https://mx.indeed.com/rc/clk?jk=17fc9de6dd69dc13&fccid=5ce94758becb9502&vjs=3
OPERADOR DE EXTRUCCIÓN DE POLIETILENO,HV Plásticos,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"Asegurar que la producción cumpla con las especificaciones requeridas a través de las correcciones y observaciones del Supervisor, Jefe de Producción y…",,https://mx.indeed.com/rc/clk?jk=85c0a2cef2d4c6cd&fccid=0fe2540f61d2e576&vjs=3
WEB DEVELOPER FOR USA PROJECTS,Epik solutions,"Colonia Polanco, CDMX",hace 10 días,2021-01-24,"Carrera en ingeniería en sistemas, TICS, software developer engineer, programación, informática, computación o cualquier otra relacionada con las TI (IT).","$5,878 - $21,436 al mes",https://mx.indeed.com/company/Epik-solutions/jobs/Web-developer-USA-projects-981bdcf0a0503628?fccid=820ae6cdc04f9bce&vjs=3
Administrador de Obra,GRUPO GWEP,"Tláhuac, CDMX",hace 17 días,2021-01-24,"\*Integración de pagos semanales, recabar autorizaciones en obra de pago (estimaciones), recabar facturas de contratistas (vigilar que cumplan con requisitos),…","$15,000 - $18,000 al mes",https://mx.indeed.com/company/Cumbres-Herradura/jobs/Administrador-obra-b1b1ef13816c5467?fccid=c7b54eea31a8bded&vjs=3
Supervisor de Laboratorio (Desarrollo Analítico),Ciencia Desarrollo e Innovación S.A. de C.V.,"Benito Juárez, CDMX",hace 14 días,2021-01-24,"Ayuda a la jefatura del laboratorio a la que le reporte al control y monitoreo de recursos humanos y tecnológicos a su cargo, mediante la planeación de…","$16,500 - $18,500 al mes","https://mx.indeed.com/company/Ciencia,-Desarrollo-e-Innovaci%C3%B3n-S.A.-de-C.V./jobs/Supervisor-laboratorio-62723dc7a7d2645a?fccid=e45ecc1db98cef84&vjs=3"
